ZINC04719096	CC(=O)c1cc2c(N)c(/C(N)=N/C#N)sc2nc1C
ZINC12175541	O=S1(=O)C=C[C@H](NC(=S)NCCNC(=S)N[C@H]2C=CS(=O)(=O)C2)C1
ZINC12545554	COc1ccc(N(CCC(N)=O)CC(=O)N2CCc3cc(S(N)(=O)=O)ccc32)cc1
ZINC13148111	Cc1oc([C@H](O)[C@@H](O)[C@@H](O)CO)cc1C(=O)OCc1ccc(C#N)cc1
ZINC14142300	CC(C)Nc1nnc(SCC(=O)c2c(N)n(C)c(=O)[nH]c2=O)s1
ZINC16267906	Cc1cc(Br)c(N2C(=O)NC(=O)[C@H](/C=N/C(CO)(CO)CO)C2=O)cc1C
ZINC15022654	COc1cc([C@H]2C(C(=O)c3ccc(F)cc3)=C([O-])C(=O)N2CC[NH2+]CCO)ccc1O
ZINC25436232	COC(=O)C1=C(N)N(CCn2c(N)c(C(=O)OC)sc2=S)C(=S)C1
ZINC27025156	NC(=O)CN1C(=O)/C(=N/NC(=S)N[C@H]2CCS(=O)(=O)C2)c2ccccc21
ZINC32594266	C=CCn1c(-c2ccc(C)cc2)nn([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)c1=S
ZINC20188948	C[C@H]1CCc2cc(F)cc3c(=O)c(C(=O)NCC[NH2+]CCO)c([O-])n1c23
ZINC35271311	C=C(C(=O)O[C@@H]1C[C@@]2(C)[C@@H](O)CCC(=O)[C@H]2[C@@H](O)[C@H]1C(=C)C(=O)OC)[C@H](O)CO
ZINC38770045	C[C@H]1NNC(=O)C2=C1[C@@H](C)O[C@H]2NC(=O)CS[C@@H]1NN=C(C2CC2)N1C
ZINC39021372	NN1[C@@H](SCC(=O)N2CCOCC2)NN[C@H]1[C@H]1C=C(c2ccccc2)N=N1
ZINC39560053	C[C@@H]1C(=O)O[C@@H]2C[C@@H](C)C(CC[C@@H](C)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=CC[C@@H]12
ZINC39592739	NN1[C@@H](SCC(=O)N2CCOCC2)NN[C@@H]1[C@H]1C=C(c2ccc(F)cc2)N=N1
ZINC40151711	Cc1nccn1Cc1cccc(CNC(=O)Nc2cnn(CC(N)=O)c2)c1
ZINC42526600	COC[C@H](O)CN(C)S(=O)(=O)c1cc(Br)cnc1NN
ZINC43211235	CCCCN1C(=O)[C@H]2[C@@H](c3ccc(O)c(O)c3)[NH2+][C@@](CC(C)C)(C(=O)[O-])[C@@H]2C1=O
ZINC33916520	CCCCN1C(=O)[C@H]2[C@@H](c3cc(Br)ccc3O)[NH2+][C@@](CO)(C(=O)[O-])[C@@H]2C1=O
ZINC33925780	CCc1ccc(N2C(=O)[C@H]3[C@H](c4ccc(O)c(OC)c4)[NH2+][C@@](CO)(C(=O)[O-])[C@@H]3C2=O)cc1
ZINC33925836	CCc1ccc(N2C(=O)[C@H]3[C@@H](c4cc(C)c(O)c(C)c4)[NH2+][C@@](CO)(C(=O)[O-])[C@@H]3C2=O)cc1
ZINC45631315	Nc1c(C(=O)CN2CCN(c3ccccc3O)CC2)c(=O)[nH]c(=O)n1C1CC1
ZINC46706772	COC(=O)C[C@@H]1C(=O)NCCN1C(=O)C[C@@H](NC(N)=O)c1ccc(Cl)cc1
ZINC48757361	C[C@@H](NC(=O)C(=O)Nc1cccc2cccnc12)c1ccc(S(N)(=O)=O)cc1
ZINC20548443	COCCCN1C(=O)[C@@H]2[C@@H](CC(N)=O)N[C@@]3(C(=O)Nc4ccccc43)[C@@H]2C1=O
ZINC20548474	CCCCN1C(=O)[C@H]2[C@H](CCC(N)=O)N[C@@]3(C(=O)Nc4ccc(F)cc43)[C@@H]2C1=O
ZINC20548474	CCCCN1C(=O)[C@@H]2[C@H](CCC(N)=O)N[C@@]3(C(=O)Nc4ccc(F)cc43)[C@@H]2C1=O
ZINC40514747	CO[C@H]1O[C@H](CO)[C@@H](Sc2nc(CN(C)C)ccc2O)[C@@H](O)[C@H]1O
ZINC55940411	Cc1cc(OCC(N)=O)ccc1NC(=O)Cn1c(=O)[nH]c2ccccc2c1=O
ZINC04278910	COc1cc([C@H]2NC(=O)N[C@](O)(C(F)(F)F)[C@@H]2C(C)=O)cc(OC)c1O
ZINC58867875	COc1ccccc1NC(=S)NNC(=O)[C@H](C)NC(=O)c1ccoc1
ZINC59879076	CC(=O)NNC(=O)[C@H](C)Sc1n[nH]c(N/N=C/c2ccccc2F)n1
ZINC62131589	CC(=O)Nc1ccc(F)c(NC(=O)C(=O)NC[C@H](O)c2ccc(F)cc2)c1
ZINC20548984	COCCCN1C(=O)[C@H]2[C@@H](CCC(N)=O)N[C@@]3(C(=O)Nc4ccc(Cl)cc43)[C@@H]2C1=O
ZINC20548984	COCCCN1C(=O)[C@@H]2[C@@H](CCC(N)=O)N[C@@]3(C(=O)Nc4ccc(Cl)cc43)[C@@H]2C1=O
ZINC64215268	CCCCN1C(=O)N=C([O-])[C@H](N(C)C(=O)c2[nH]c(C)c(C(C)=O)c2C)[C@@H]1[NH3+]
ZINC64683189	O=C(CNC(=O)N[C@@H](CC1=c2ccccc2=[NH+]C1)C(=O)[O-])N[C@@H]1CCCc2ccccc21
ZINC64683664	COc1ccc([C@@H]2C[C@H](CNC(=O)N[C@@H](CC3=c4ccccc4=[NH+]C3)C(=O)[O-])ON2)cc1
ZINC64683705	CC(C)CNC(=O)CNC(=O)N[C@H](CC1=c2ccccc2=[NH+]C1)C(=O)[O-]
ZINC65182133	CC(C)CNC(=O)NNC(=O)[C@H](C)NC1=NS(=O)(=O)c2ccccc21
ZINC65748538	CCCc1cc(=O)[nH]c(=S)n1[C@@H]1O[C@@H](C(=O)OC)[C@@H](O)[C@@H](O)[C@H]1O
ZINC65748539	CCCc1cc(=O)[nH]c(=S)n1[C@H]1O[C@@H](C(=O)OC)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC66381173	NC(=O)[C@H]1CC(C(=O)Nc2cnn(CCO)c2)=NN1c1ccc(F)cc1
ZINC66449570	NC(=O)CN1CCC[C@@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)c2ccco2)C1
ZINC66601957	CC(=O)N[C@@H](CC(=O)NNC(=O)C(=O)NC(C)C)c1c(F)cccc1F
ZINC66643522	CC(=O)N[C@@H](CC(=O)NCC(=O)Nc1cn[nH]c1)c1c(F)cccc1F
ZINC67149124	NC(=O)c1cc2c([nH]c1=O)CCC[C@@H]2NC(=O)c1ccc(OCC2CC2)nc1
ZINC67542524	C[C@@H](NC(=O)Nc1ccc(OCC(N)=O)cc1)C(=O)N1CCSCC1
ZINC08882212	CC(C)[C@@H](NC(=O)c1c(F)cccc1F)C(=O)OCC(=O)Nc1sccc1C(N)=O
ZINC09544311	CCCn1c(N)c(N(CCOC)C(=O)C(F)(F)F)c(=O)n(CC(=O)NC(=O)NCC)c1=O
ZINC10243595	CCOC(=O)CC(=O)CSc1nc(N)c(NC(=O)c2ccc(Br)o2)c(=O)[nH]1
ZINC10063440	COCCNC(=O)Cn1c(CO)cnc1SCC(=O)Nc1ccc(NC(C)=O)cc1
ZINC11349408	CCCN(C[C@H](O)COc1ccc(F)cc1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
ZINC11684218	CC(C)[C@H](OC(=O)c1ccccc1SCC(=O)Nc1cccc(C#N)c1)C(=O)NC(N)=O
ZINC13129513	Cn1c(N)c(C(=O)COC(=O)CSc2ccc(C(N)=O)cc2[N+](=O)[O-])c(=O)n(C)c1=O
ZINC15342567	CC(=O)c1c(C)[nH]c(C(=O)[C@H](C)OC(=O)C[C@@H](NC(N)=O)c2ccc(Cl)cc2)c1C
ZINC16685680	NC(=O)c1c(NC(=O)COC(=O)c2ccc(NC3CC3)c([N+](=O)[O-])c2)sc2c1CCCC2
ZINC01625504	N#CCCN(CCC#N)c1ccc(/C=C(\NC(=O)c2cc([N+](=O)[O-])ccc2Cl)C(=O)NN)cc1
ZINC17213884	Cc1cc(N(CCC#N)CCC#N)ccc1/C=C(\NC(=O)/C=C\c1ccccc1)C(=O)NN
ZINC18367433	CCCCn1c(N)c(N(C(=O)CSc2nnc(-c3ccc[nH]3)o2)C2CCCC2)c(=O)[nH]c1=O
ZINC18525121	COCCNC(=O)c1c(NC(=O)CSc2nnc(-c3ccoc3C)n2N)sc2c1CCCC2
ZINC20527590	COc1ccccc1NC(=O)CSc1nnc(N/N=C/c2ccc(N(C)C)cc2)n1N
ZINC20827673	CC(C)n1cc(/C=N/Nc2nnc(SCC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)n2N)cn1
ZINC20913403	COC(=O)c1ccc(/C=N/Nc2nnc(SCC(=O)Nc3cc(F)ccc3C)n2N)cc1
ZINC20920710	CC(C)n1cc(/C=N/Nc2nnc(SCC(=O)NCCc3ccc(F)cc3)n2N)cn1
ZINC20921048	CC(C)n1cc(/C=N/Nc2nnc(SCC(=O)Nc3ccc(N(C)C)cc3)n2N)cn1
ZINC20921239	CC(C)n1cc(/C=N/Nc2nnc(SCCC(=O)Nc3ccc(Br)cc3)n2N)cn1
ZINC20921267	COc1ccc(NC(=O)CCSc2nnc(N/N=C/c3cnn(C(C)C)c3)n2N)cc1
ZINC20921317	Cc1ccc(NC(=O)CCSc2nnc(N/N=C/c3cnn(C(C)C)c3)n2N)c(C)c1
ZINC21259565	CC(C)CN(C(=O)CSc1nc(-c2ccccc2)n[nH]1)c1c(N)n(CC(C)C)c(=O)[nH]c1=O
ZINC21302706	CC(=O)N[C@@H](CC(=O)N(CC(C)C)c1c(N)n(CC(C)C)c(=O)[nH]c1=O)c1ccc(Cl)cc1
ZINC21324533	COc1cc(NC(=O)CSc2nnc(N/N=C(\C)c3ccncc3)n2N)cc(OC)c1
ZINC21842915	NC(=O)N[C@H](CC(=O)OCC(=O)Nc1ccc(C(F)(F)F)cc1[N+](=O)[O-])c1ccccc1Cl
ZINC22060364	NC(=O)CCN(Cc1ccccc1)C(=O)CSc1nnc(-c2ccc(Cl)cc2Cl)n1N
ZINC23158815	CSCC[C@@H](NC1=NS(=O)(=O)c2ccccc21)C(=O)NNC(=O)Cc1c[nH]c2ccccc12
ZINC24752298	CC(C)CN(C(=O)COC(=O)c1cc(=O)[nH]c2ccccc12)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
ZINC24960848	COC(=O)c1sc(N)c(C(=O)OC)c1CSc1nnc(SCC(N)=O)s1
ZINC29902978	CCOC(=O)c1c(C)oc2nc(COC(=O)c3ccccc3SCC(N)=O)nc(N)c12
ZINC35365931	CC(C)(CO)NC(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@@]21C
ZINC25518591	NC(=O)COc1cccc(NC(=O)CCSCc2nc3sc4c(c3c(=O)[nH]2)CCC4)c1
ZINC28629599	O[C@@H](c1ccco1)N(C(=S)N([C@H](O)c1ccco1)[C@H](O)c1ccco1)[C@@H](O)c1ccco1
ZINC39969628	CCN1[C@@H](SCc2nc3ccccc3c(=O)[nH]2)NN[C@@H]1[C@@H](C)NC(=O)Cc1ccc(OC)cc1
ZINC43218396	COc1ccccc1[C@H]1[NH2+][C@](CC(=O)[O-])(C(=O)[O-])[C@@H]2C(=O)N(CC[NH2+]Cc3ccccc3)C(=O)[C@@H]12
ZINC44681446	C=CCNc1nc2c(s1)C[C@H]1[C@](C)(CC[C@@H](O)[C@@]1(C)CO)[C@@H]2CC(=O)NCCOC
ZINC58312675	COCCN(C(=O)CNc1cccc2c1CCCC2)c1c(N)n(CC(C)C)c(=O)[nH]c1=O
ZINC59016909	COc1cccc(/C=N/Nc2nc(SCC(=O)Nc3ccccc3SC)n[nH]2)c1O
ZINC59333679	N#Cc1c(CCCNc2ncc([N+](=O)[O-])c(NC3CC3)n2)nn(-c2ccc(F)cc2)c1N
ZINC20291902	COc1cc(NC(=O)CSc2nnc(N/N=C/c3cccc([N+](=O)[O-])c3)n2N)cc(OC)c1
ZINC59829846	C=CCn1nc(C)c(/C=N/Nc2nnc(SCC(=O)Nc3cc(Cl)ccc3Cl)n2N)c1C
ZINC59829900	C=CCn1nc(C)c(/C=N/Nc2nnc(SCC(=O)Nc3ccc(OC)cc3C)n2N)c1C
ZINC59884705	Cc1ccc(CNC(=O)CSc2nnc(N/N=C/c3ccccc3[N+](=O)[O-])n2N)cc1
ZINC59887679	Cc1nn(CCO)c(C)c1/C=N/Nc1nc(SCC(=O)NCc2ccccc2Cl)n[nH]1
ZINC59914136	COCCn1cc(/C=N/Nc2nnc(SCC(=O)Nc3c(F)cccc3F)n2N)cn1
ZINC62048673	C[NH+]1CCN(Cc2cccc(-c3nc(CC(=O)N[C@H](CCC(N)=O)C(=O)[O-])cs3)c2)CC1
ZINC63493735	COc1ccc2c(c1)=C(CC[N-]/C(=N\C(=O)CS[C@@H]1N=N[C@H](N)S1)Nc1nc(C)cc(C)n1)C[NH+]=2
ZINC40017459	CCOC(=O)C1=C(C)N[C@@H](N(Cc2ccccc2)C(=O)CSc2n[nH]c(N)n2)S1
ZINC64683804	CCN1[C@H](c2cccs2)NN[C@@H]1SCC(=O)N[C@@H](CC1=c2ccccc2=[NH+]C1)C(=O)[O-]
ZINC64684535	COc1ccccc1N1CNN[C@@H]1SCC(=O)N[C@@H](CC1=c2ccccc2=[NH+]C1)C(=O)[O-]
ZINC03151494	CNc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@H]([NH3+])[C@H]3SC2)s1
ZINC03200142	COc1cccc(C(=O)NN2CC(=O)C(c3nc4ccccc4[nH]3)=C2N)c1
ZINC05040375	C[C@H](Sc1nc2ccccc2c(=O)n1CCCO)C(=O)NC(N)=O
ZINC03764202	COC(=O)C[C@H]1SC2=C(C(N)=O)[C@H](c3cccs3)C(C#N)=C(N)N2C1=O
ZINC02314956	NC(=O)CCN(CCC(N)=O)S(=O)(=O)c1ccc(Br)cc1
ZINC07112695	Nc1nc(N)nc(CSc2nnc(C3CC3)n2Cc2ccccc2)n1
ZINC08156596	CCC1=C(C)CN([C@H](O)NCCc2ccc(S(N)(=O)=O)cc2)C1=O
ZINC00032001	O=C([O-])[C@H](Cc1c[nH]c2ccccc12)[NH2+][C@H]1CC(c2ccccn2)=NN1
ZINC10911446	CC(C)CNC(=O)NC(=O)Cn1c(C(F)(F)F)ccc(C(N)=O)c1=O
ZINC11178984	COCCn1c(N)c(-c2csc(NC3CCCC3)n2)c(=O)[nH]c1=O
ZINC08636526	O=C(NC1CC1)[C@@H]1C[C@@H](O)[C@H](O)[C@@H]2NC(=S)N(c3ccc(-n4cccn4)cc3)[C@H]12
ZINC16553864	CNc1snc(C)c1C(=O)O[C@@H](C)C(=O)Nc1sccc1C(N)=O
ZINC16958777	N#CC1=C(S)N([C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)C(c2ccccc2)=C[C@@H]1c1ccco1
ZINC18541049	Nc1cc(N)nc(SCCN2C(=O)c3ccccc3S2(=O)=O)n1
ZINC02193845	N#CC1=C(N)C(C#N)(C#N)[C@@H](c2cccc(OCC(N)=O)c2)[C@H]2COCC=C12
ZINC29351934	Cc1ccccc1CN(C)C(=O)[C@H](C)SCc1nc(N)nc(N)n1
ZINC34388737	Cc1cc([C@H]2[NH2+][C@@](C(=O)[O-])([C@@H](C)O)[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@@H]23)cc(C)c1O
ZINC08192103	C[C@@H]1CCCC[C@@]12NC(=O)N(CC(=O)Nc1sccc1C(N)=O)C2=O
ZINC03533741	NC(=O)N[C@H](CC(=O)NCCc1ccccn1)c1ccccc1Cl
ZINC39915812	CC(C)n1c(S[C@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)nc2ccccc21
ZINC41069847	NNc1ncc(Br)cc1S(=O)(=O)N[C@@H]1CCS(=O)(=O)C1
ZINC41740053	CC(=O)Nc1cc(NC(=O)C(=O)NC[C@@H](O)c2ccc(F)c(F)c2)ccc1F
ZINC44680644	CCOC[C@H](C)NS(=O)(=O)c1cc(Br)cnc1NN
ZINC14565248	CC(C)CNC(=O)NC(=O)[C@H](C)Sc1nnc(C(F)(F)F)n1N
ZINC49303143	C[C@H](NC(=O)C(=O)Nc1c(F)cccc1F)c1cccc(S(N)(=O)=O)c1
ZINC49304143	C[C@H](NC(=O)C(=O)Nc1cccc2cccnc12)c1cccc(S(N)(=O)=O)c1
ZINC49436912	Cc1cc(C(=O)[C@@H](C#N)c2nc(N)nc(N)n2)c(C)n1-c1ccc(F)cc1
ZINC50084610	CNC(=O)c1cc(NC(=O)N[C@H](C)C(=O)NCc2ccco2)ccc1F
ZINC50656896	CCNc1ncc(Br)cc1S(=O)(=O)N[C@@H](C)C(N)=O
ZINC53773884	NS(=O)(=O)CCNC(=O)C[C@@H]1Sc2ccc(Cl)cc2NC1=O
ZINC58170897	O=C(CN1C(=O)NC2(CCCC2)C1=O)NNC(=S)Nc1ccc(F)cc1
ZINC58837027	CC(=O)NCC(=O)NCC(=O)NNC(=O)c1cc2c(s1)CC[C@@H](C)C2
ZINC47167473	CC(=O)N[C@H](CC(=O)Nc1cccc([C@@]2(C)NC(=O)NC2=O)c1)c1cccs1
ZINC59186747	COc1cc(C(=O)N[C@@H](C(=O)NN)C(F)(F)F)cc(OC)c1OC
ZINC42870727	Nc1cc(CCCNC(=O)N[C@H]2CCS(=O)(=O)C2)nn1-c1ccccc1
ZINC61808050	NC(=O)CN(CC(N)=O)CC(=O)c1ccc(I)cc1
ZINC61809074	NC(=O)CN(CC(N)=O)C(=O)c1cccc(I)c1
ZINC16012584	NC(=O)CC[C@@H]1N[C@]2(C(=O)Nc3ccccc32)[C@H]2C(=O)N(c3ccc(F)cc3)C(=O)[C@H]12
ZINC16012584	NC(=O)CC[C@@H]1N[C@]2(C(=O)Nc3ccccc32)[C@@H]2C(=O)N(c3ccc(F)cc3)C(=O)[C@H]12
ZINC41852497	NC(=O)Cc1ccc(NC(=O)C(=O)NCc2ccc(-n3cccn3)cc2)cc1
ZINC62659032	C[C@@H](COCC(F)(F)F)NC(=O)NCc1cccc(S(N)(=O)=O)c1
ZINC63456351	CC(C)N(C(=O)CO/N=C(/N)C1=C(N)C2(CCCC2)N(C)C1=O)C(C)C
ZINC39590218	O=C(/C=C1/CS[C@H](NC(=O)c2ccc[nH]c2=O)N1)NCc1ccccn1
ZINC65474284	CC(C)[C@@H](C)NC(=O)CNC(=O)c1c(Br)nn(C)c1N
ZINC65614193	Cc1cc(C(=O)N(CC(N)=O)CC(N)=O)c(C)n1-c1ccccc1F
ZINC66217805	COc1ccc(NC(=O)C(=O)NCc2cccc(S(N)(=O)=O)c2)c(C)c1
ZINC66239937	Cc1cc(C)c(CNC(=O)c2ccc(-n3ncc(C#N)c3N)cc2)c(=O)[nH]1
ZINC66980743	CC(=O)Nc1cc(NC(=O)NCCNC(=O)c2ccco2)c(F)cc1F
ZINC67072196	CCNC(=O)NC1(C(=O)NCc2n[nH]c(=S)n2C(C)C)CCCC1
ZINC67193409	CC(=O)N[C@H](CC(=O)N[C@H]1CC[C@H](C(N)=O)CC1)c1c(F)cccc1F
ZINC67360009	CSCC[C@H](NC(N)=O)C(=O)NCc1ccccc1-n1cccn1
ZINC01616990	CN(C)C(=[NH2+])NC(N)=S
ZINC08037140	NS(=O)(=O)Cc1ccc(C[NH3+])cc1
ZINC11731071	C[C@@H](O)[C@H](CO)[N@H+]1Cc2ccc(N)cc2C1
ZINC11731069	C[C@@H](O)[C@@H](CO)[N@@H+]1Cc2ccc(N)cc2C1
ZINC17289586	CC(C)[C@@H]([NH3+])C(=O)NN
ZINC19842690	CC(C)[C@H]([NH3+])c1ccc2[nH]c(=O)[nH]c2c1
ZINC19858028	Nc1nc(C[NH3+])n[nH]1
ZINC21984993	Nc1cncc(C[NH3+])c1
ZINC35677058	CC(C)(C)c1ccc([C@H](N)C[NH3+])cc1
ZINC35677059	CC(C)(C)c1ccc([C@@H](N)C[NH3+])cc1
ZINC37242855	NC(=O)C(=O)NCC[NH3+]
ZINC39048522	CC[C@H]([NH3+])c1ccc(N)cc1
ZINC39090992	NC(=O)C[C@@H]([NH3+])[C@@H]1C=CC=N1
ZINC39098209	[NH3+]Cc1[nH]c(=O)[nH]c(=O)c1Br
ZINC24620052	NC1=C2NCCN=C2NC=[NH+]1
ZINC39135662	CSC1([C@@H]([NH3+])C(N)=O)CC1
ZINC40723717	C[NH+]1CCN(c2ncnc(N)c2N)CC1
ZINC41050691	CC(C)[C@@H]([NH3+])c1n[nH]c(N)n1
ZINC42040134	[NH3+]C1(c2n[nH]c(=O)[nH]2)CCCC1
ZINC42547037	C[C@@H](N[C@H]1CC[N@H+](C)C1)C(=O)NC(N)=O
ZINC43516435	C/C(Sc1nncs1)=C(/N)[NH3+]
ZINC43542699	CC/C(Sc1ncn[nH]1)=C(/N)[NH3+]
ZINC44075675	NC1=[NH+][C@H]([O-])[NH+]=CN1
ZINC44250083	Nc1nc(N)c(C[NH3+])nc1Cl
ZINC44468826	C[C@H](C(=O)[O-])[C@H]([NH3+])C[NH3+]
ZINC44468857	[NH3+]C[C@@H]([NH3+])[C@H]1C[C@H]1C(=O)[O-]
ZINC44469497	CCc1ccc([C@H](N)C[NH3+])o1
ZINC44470784	Cc1cc([C@@H](N)C[NH3+])ccc1Cl
ZINC44471251	COc1c([C@H](N)C[NH3+])c(C)nn1C
ZINC44473212	Cc1ccc([C@@H](N)C[NH3+])cc1C(F)(F)F
ZINC44476921	Cc1c(F)ccc2cc([C@H](N)C[NH3+])[nH]c12
ZINC44796464	CC[C@H](C[NH3+])C(N)=O
ZINC45225781	C[C@@](N)(C[NH+]1CCCC1)C(N)=O
ZINC45238552	CN[n+]1c(NN)[nH]c2ccccc21
ZINC45378144	NC(=O)[C@@H](N)C[NH+]1CCCCC1
ZINC39132596	Cc1[nH+]c(N)[nH]c1N
ZINC45820919	C[C@H]([NH3+])Cc1c[nH]c(=S)[nH]1
ZINC48582769	NC(=O)C[N@H+]1CCCC[C@@H]1C(N)=O
ZINC48630886	CCc1nc([C@H]([NH3+])[C@@H](C)O)n[nH]1
ZINC49685663	Cc1cc(/C(N)=[NH+]/N)c(C)s1
ZINC49806183	C[C@@H]([NH3+])C(=O)NNC(=O)C(C)(C)C
ZINC52838002	CCc1[nH+]cn(N)c1N
ZINC33634178	N/N=C1\[NH+]=N[C@H](S)N1N
ZINC55087207	CN(CC(N)=O)C(=O)[C@@H]1CCCC[C@@H]1[NH3+]
ZINC55087213	CN(CC(N)=O)C(=O)[C@H]1CCCC[C@H]1[NH3+]
ZINC61590030	N[C@@]1(C[NH3+])CCCSC1
ZINC61871376	N/[NH+]=C(/N)c1ccc(Br)cn1
ZINC62812770	CN(CC(N)=O)C(=O)[C@@H]1C[NH2+]CCN1
ZINC62858953	CC(C)(NC(=O)[C@]1(C)CCC[NH2+]C1)C(N)=O
ZINC64873934	N[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1[NH3+]
ZINC04811980	CC[C@]1(C)Cc2c(sc3c2C(NN)=[NH+][C@H](SC)N3)CO1
ZINC01595456	COc1cc2c(c(OC)c1OC)-c1ccc(=O)c(N)cc1[C@@H]([NH3+])CC2
ZINC19439718	N/C(=N\O)c1ccc(C[NH+]2CCC(O)CC2)c(F)c1
ZINC19842737	[NH3+][C@@H](Cc1ccc(Br)cc1)c1ccc2[nH]c(=O)[nH]c2c1
ZINC19842874	[NH3+][C@@H](c1ccc2[nH]c(=O)[nH]c2c1)[C@@H]1Cc2ccccc2O1
ZINC19972283	[NH3+][C@@H](c1ccncc1)c1ccc2[nH]c(=O)c(=O)[nH]c2c1
ZINC21302860	C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)C[NH3+]
ZINC35379741	Cc1cc([C@@H]([NH3+])c2ccc3[nH]c(=O)c(=O)[nH]c3c2)c(C)o1
ZINC35379742	[NH3+][C@@H](c1ccc2[nH]c(=O)c(=O)[nH]c2c1)c1ccc(Br)o1
ZINC35381073	Cc1ccc([C@H]([NH3+])c2ccc3c(c2)NC(=O)CC(=O)N3)o1
ZINC35381098	Cc1ccoc1[C@@H]([NH3+])c1ccc2c(c1)NC(=O)CC(=O)N2
ZINC36264570	[NH3+][C@H]1C[C@@H]1NS(=O)(=O)c1cc2c(cc1Cl)NC(=O)C2
ZINC36730705	NC(=O)c1cccnc1N(CCC[NH3+])c1ccc(F)cc1
ZINC36880759	Cc1n[nH]c(C)c1S(=O)(=O)N[C@H]1CC[C@H]([NH3+])CC1
ZINC37272295	Nc1ccc(NC(=O)C[N@@H+]2CCNC(=O)C2)c(Br)c1
ZINC37630250	[NH3+]CC(=O)NCC(=O)N[C@H]1CCCC[C@@H]1C(F)(F)F
ZINC37798103	CN(Cc1ccccc1Br)C(=O)[C@H]([NH3+])CC(N)=O
ZINC38050247	Cc1[nH]c(=O)sc1S(=O)(=O)N[C@H]1CCCC[C@H]1[NH3+]
ZINC40225920	Cc1ccc2sc([C@@H]([NH3+])Cc3ccc(O)c(O)c3)nc2c1
ZINC40366372	C[NH+]1CCC(NC(=O)NC2CCCCC2)(C(N)=S)CC1
ZINC40674292	CC(C)([NH2+][C@@H]1C(=O)Nc2cc(Br)ccc21)C(N)=O
ZINC42614128	CC(=O)N1CCC[N@@H+](Cc2ccc(C(N)=O)cc2N)CC1
ZINC43378830	C[C@H]([NH3+])[C@@H](N1CCC(CC(N)=O)CC1)C(F)(F)F
ZINC43378858	C[C@H]([NH3+])[C@@H](N(CC(N)=O)C1CCCC1)C(F)(F)F
ZINC43461153	Nc1ncnc2c1ncn2Cc1ccc(C[NH3+])cc1F
ZINC44470748	N[C@@H](C[NH3+])c1c(-c2ccccc2F)nc2sccn12
ZINC44472135	COc1cc([C@@H](N)C[NH3+])cc(I)c1OC
ZINC44514730	NS(=O)(=O)c1ccc(N2CCC(C[NH3+])CC2)cc1
ZINC44764016	C[C@@H]1CC[C@H](C(N)=O)CN1C(=O)C1(C[NH3+])CCCC1
ZINC50392991	[NH3+]CC#Cc1ccc(S(=O)(=O)N[C@H]2CCCNC2=O)cc1
ZINC20290962	Cc1ccc(N2C(=O)/C(=C/N[C@@H]3CCCC[C@@H]3[NH3+])C(=O)NC2=S)cc1
ZINC51096586	NNc1ncc(C(=O)N[C@H]2C[N@H+]3CC[C@@H]2CC3)cc1Cl
ZINC51117651	C[N@H+]1CC[C@@H](NC(=O)c2cnc(NN)c(Cl)c2)C1
ZINC52094248	[NH3+][C@H](c1cc2[nH]c(=O)[nH]c2cc1Br)[C@@H]1CCCCO1
ZINC52094252	[NH3+][C@H](c1cc2[nH]c(=O)[nH]c2cc1Br)[C@@H]1CCOC1
ZINC54306412	NC(=O)[C@H]1CC[C@@H](NC(=O)C[C@H]2CCC[NH2+]C2)CC1
ZINC54308155	NC(=O)NC[C@@H]1CCCN(C(=O)C[C@H]2CCC[NH2+]C2)C1
ZINC54822229	Cc1[nH]cc(CN[C@@H](C)c2ccc3[nH]c(=O)[nH]c3c2)[nH+]1
ZINC55091557	NC(=O)[C@H]1CCCN(C(=O)C[C@H]2CCCC[C@@H]2[NH3+])C1
ZINC57662554	Nc1ccc([C@@H](O)CC[N@H+]2CCCC[C@@H]2CCO)cc1
ZINC45420191	C[C@@](N)(CCCN1CCC([NH+]2CCCCC2)CC1)C(N)=O
ZINC55088764	NC(=O)CC1CCN(C(=O)[C@@H]2CCC[C@H]([NH3+])C2)CC1
ZINC61595626	CCn1c(Sc2cc(C)ccc2C(N)=[NH2+])n[nH]c1=O
ZINC61659926	NC(=O)CC1CC[NH+](Cc2cccnc2C(N)=S)CC1
